Generator,Average,KS Test,Z Test,Chi Squared Test,Product of successive values,Correlation Coefficient
RY1Bit,127.41892,0.005638627450980399,-1.2573519336269205,0.9044800000000001,0.24952248538248303,-0.0019149160105500157
RY8Bit,127.26008,0.005655294117647064,-1.2502910471631137,0.7842514285714286,0.24897051554136973,-0.0010933585916319372
Uniform1Bit,127.41913,0.004400784313725495,1.4794399929306168,1.6390628571428572,0.24909990599329038,-0.0069464377898432106
Uniform8Bit,127.70918,0.0049313725490196525,-0.408018640489558,0.43158857142857143,0.25069472101872203,-0.0015233509489703213
LCG,127.58199,0.0035947058823529443,15.019461207523385,0.8272,0.24971228166721696,-0.007337772599500708
KISS,127.57264,0.002479607843137277,24.63005283539363,0.5512,0.24817980575038426,-0.025261363638360165
Hadamard1Bit,127.61987,0.004840196078431447,0.9076069758002804,0.61488,0.2502798956478601,-0.002285775814074266
Hadamard8Bit,127.73461,0.005948235294117699,-2.3878566934030174,0.9485485714285715,0.2511037058082967,0.0021887056782936144
RY1Bit,127.62424,0.0051935294117646524,-5.2259052011632745,0.8488685714285714,0.2503373345921089,-0.0018017220631547154
RY8Bit,127.00549,0.006167843137254825,1.5288448820426546,1.50272,0.24828145397947285,0.0025987362743803677
Uniform1Bit,127.81623,0.006464313725490167,0.8937709314863937,1.8614171428571429,0.25090857352249096,-0.003921662856831174
Uniform8Bit,127.4998,0.0045935294117647185,-3.1240361919585427,0.30946285714285715,0.2497052444572849,-0.0034911780793716674
LCG,127.70618,0.004883725490196111,13.43396710469825,1.3484342857142857,0.2510140324778877,0.0024192896634751227
KISS,127.54806,0.0024292156862745218,23.774572296454295,0.7160000000000001,0.2481372807576609,-0.024619960587372747
Hadamard1Bit,127.27643,0.004637058823529411,0.09339430080782249,1.9582857142857144,0.2491008953149867,-0.0002903192255853535
Hadamard8Bit,127.38457,0.005317058823529397,0.21270163558358246,1.0325028571428572,0.2494104405865241,-0.0016427286535185752
RY1Bit,127.49765,0.005280000000000062,1.3042051349395447,0.60272,0.25000646746182936,0.00017178750043120438
RY8Bit,127.63149,0.004362745098039245,-7.062319831309333,1.4112228571428571,0.25021603756983285,-0.003620815512333097
Uniform1Bit,127.13668,0.005479803921568632,-0.4020214312061335,1.50528,0.24901524293981575,0.005247081896655276
Uniform8Bit,127.91649,0.005890196078431331,2.1298697351059244,0.8506514285714286,0.2514429945529734,-0.0023517965966155753
LCG,127.5048,0.00381352941176466,17.344256004163327,1.7194514285714286,0.2503959644748315,0.004491741504506552
KISS,127.49794,0.0022890196078431124,23.530034545742957,0.7590171428571428,0.24792908213588183,-0.024760300042747704
Hadamard1Bit,127.51463,0.005238039215686219,-1.2330526019651564,0.38765714285714287,0.25004826380443596,-9.785236605621562e-05
Hadamard8Bit,127.5759,0.005226666666666713,-2.0750122386859005,0.7541028571428572,0.2503467639828267,0.0005966540396832661
RY1Bit,127.40054,0.004679607843137257,-1.2789456136189024,0.4455085714285714,0.24945480565917152,-0.0019031205864901638
RY8Bit,127.91858,0.007210588235294135,0.4453037878237129,3.123862857142857,0.25165731672695046,0.00013738456760924855
Uniform1Bit,127.42095,0.00461509803921567,3.018951213092594,0.7631542857142858,0.24989964840055823,0.002506436801296657
Uniform8Bit,127.68242,0.005523921568627466,-3.357996695429198,1.0021714285714287,0.25085608749205324,0.0016612400345787982
LCG,127.50194,0.0041182352941177,17.002189671256055,0.3282057142857143,0.2495083512926606,-0.005974880269677775
KISS,127.48153,0.0023578431372549002,22.871032670696216,0.7347428571428571,0.2478558131217614,-0.02491076837184076
Hadamard1Bit,127.34398,0.004203725490195986,2.7677576585754347,0.5545142857142857,0.24920618048933357,-0.0021727622059723316
Hadamard8Bit,127.73411,0.004638431372549046,-0.40327179950314207,0.8781714285714286,0.25094826665298137,0.0003278662434409016
RY1Bit,127.55929,0.004805882352941215,0.10346294325819065,1.2100114285714285,0.2502509597183598,0.00021077444935969133
RY8Bit,127.61584,0.005282941176470546,4.42502295364501,1.197897142857143,0.2505815774036259,0.0015182825164867027
Uniform1Bit,127.29874,0.005250196078431371,4.949093434510062,0.8864914285714286,0.2492823121233906,0.000839126035719167
Uniform8Bit,127.8101,0.005666666666666709,-1.8381415963171932,1.1242285714285716,0.25146403513246857,0.002949387798282233
LCG,127.71004,0.0051413725490196405,16.26556641348159,1.1770057142857144,0.25041858846116394,-0.0048545347955040235
KISS,127.4695,0.002418039215686285,22.840215408002845,0.53264,0.2478005407505062,-0.024983679559229213
Hadamard1Bit,126.85184,0.007369803921568607,-0.6983644577062438,1.79152,0.24743081033270684,-0.00040453726923203056
Hadamard8Bit,127.45648,0.005272745098039218,-3.58858248267068,2.335337142857143,0.2501779870547628,0.0041446075326971536
RY1Bit,127.73519,0.0055449019607842764,-3.3399387401765814,0.9142628571428572,0.25118864998722734,0.003117628650278231
RY8Bit,127.52892,0.00498529411764706,-0.5117153208252769,0.6053485714285715,0.24999258035640703,-0.0014676513154618083
Uniform1Bit,127.41863,0.004602941176470587,0.6031685994612515,1.3607314285714287,0.2496339680813178,-0.0005290920246600723
Uniform8Bit,127.44501,0.005254509803921614,1.646623182961418,0.7865371428571429,0.24928608947757847,-0.005915117956698368
LCG,127.27933,0.005176862745098099,14.839468977336379,1.8196114285714287,0.24931323899935845,0.0021207543345642165
KISS,127.56468,0.0024880392156862996,19.98224693084296,0.5733485714285714,0.24815052179741384,-0.025203593974777574
Hadamard1Bit,127.03565,0.0066768627450980444,-2.7139355463329307,1.8252342857142858,0.24840007554247348,0.002621259304405864
Hadamard8Bit,127.5114,0.0037184313725490198,-0.6228576926191861,1.1747885714285715,0.25002523027921425,-0.00021868208406111217
RY1Bit,127.33928,0.004094313725490198,0.9980107159529823,1.0634514285714287,0.24946494293854818,0.0011398452305300083
RY8Bit,127.56501,0.004643529411764713,3.5942736944013784,0.9673371428571429,0.25062716817094693,0.0043889118835154445
